auc,mrr,ndcg@5,ndcg@10,recall@5,recall@10,recall@50,recall@100,recall@200,diversity@50,diversity@100,novelty@50,novelty@100,user_id,history_len
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,22779,17
0.5628140703517588,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.14,0.08,1.0,1.0,1001055,54
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,1.0,1.0,1598988,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,1.0,1.0,764274,18
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.08,1.0,1.0,777553,15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,1.0,1.0,869625,6
0.05025125628140704,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.14,0.11,1.0,1.0,978884,12
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,980498,35
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,1.0,1.0,1542753,12
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,1.0,1.0,1542939,28
0.2803030303030303,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.06,1.0,1.0,1932946,44
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,1.0,1.0,1948814,31
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,1269670,25
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,1.0,1.0,1328488,36
0.03015075376884422,0.005154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.12,0.07,1.0,1.0,1514088,30
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,1336589,92
0.4623115577889447,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.16,0.1,1.0,1.0,2020878,38
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,1.0,1.0,507022,22
0.35858585858585856,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.08,0.05,1.0,1.0,631807,31
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,1.0,1.0,2395238,8
0.73989898989899,0.2,0.38685280723454163,0.38685280723454163,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.1,0.08,1.0,1.0,1331854,73
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.08,1.0,1.0,1439546,54
0.8894472361809045,0.043478260869565216,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.16,0.09,1.0,1.0,2414972,18
0.5477386934673367,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.14,0.09,1.0,1.0,2415367,51
0.9396984924623115,0.07692307692307693,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.16,0.08,1.0,1.0,1500590,55
0.5175879396984925,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.16,0.1,1.0,1.0,1604401,59
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,1.0,1.0,1873066,9
0.9547738693467337,0.1,0.0,0.2890648263178879,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.08,0.06,1.0,1.0,1874962,30
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,1.0,1.0,1923897,30
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,2010640,14
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,2015664,43
0.44221105527638194,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.2,0.11,1.0,1.0,1255547,48
0.9849246231155779,0.25,0.43067655807339306,0.43067655807339306,0.025,0.025,0.025,0.025,0.025,0.18,0.1,1.0,1.0,1887306,44
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,1887792,28
0.4321608040201005,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.18,0.11,1.0,1.0,2226651,15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,2385834,46
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,1.0,1.0,2548347,20
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,1.0,1.0,1459379,1
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,1.0,1.0,2099271,17
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,1.0,1.0,2101786,29
0.6136363636363636,0.058823529411764705,0.0,0.0,0.0,0.0,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.16,0.1,1.0,1.0,2140356,50
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,1.0,1.0,2150451,10
0.9597989949748744,0.1111111111111111,0.0,0.3010299956639812,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.14,0.09,1.0,1.0,1879949,14
0.5476923076923077,0.07142857142857142,0.0,0.0,0.0,0.0,0.058823529411764705,0.08823529411764706,0.14705882352941177,0.16,0.12,1.0,1.0,2528780,33
0.5628140703517588,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.06,0.05,1.0,1.0,1744285,25
0.49748743718592964,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.16,0.09,1.0,1.0,1930942,31
0.47738693467336685,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.14,0.12,1.0,1.0,1955113,12
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,1.0,1.0,2110993,7
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,1.0,1.0,1248757,4
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,1.0,1.0,2129565,26
0.3417085427135678,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.06,0.05,1.0,1.0,2245724,9
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,1.0,1.0,2269158,15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,2314610,5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.09,1.0,1.0,2436485,6
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.11,1.0,1.0,51752,65
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,1.0,1.0,812600,49
0.592964824120603,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.14,0.08,1.0,1.0,450577,20
0.48743718592964824,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.16,0.09,1.0,1.0,510680,28
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,1.0,1.0,682168,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,1.0,1.0,702478,25
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,1.0,1.0,1762623,47
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,1.0,1.0,1783752,4
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,1.0,1.0,508254,13
0.3409090909090909,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.03225806451612903,0.14,0.08,1.0,1.0,1907146,70
0.16080402010050251,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.12,0.07,1.0,1.0,2044604,50
0.5631313131313131,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.16,0.1,1.0,1.0,726123,49
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,1.0,1.0,1498918,28
0.3425641025641026,0.05263157894736842,0.0,0.0,0.0,0.0,0.011764705882352941,0.011764705882352941,0.058823529411764705,0.16,0.09,1.0,1.0,1562408,60
0.7989949748743719,0.024390243902439025,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.12,0.08,1.0,1.0,761089,23
0.3869346733668342,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.14,0.1,1.0,1.0,1614920,38
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,1.0,1.0,1615937,12
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,1.0,1.0,1617801,7
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,1.0,1.0,1631327,16
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,1822647,11
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,1.0,1.0,1823251,3
0.8140703517587939,0.02631578947368421,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.16,0.09,1.0,1.0,1965353,37
0.15404040404040403,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.12,0.09,1.0,1.0,1974470,50
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.11,1.0,1.0,1989619,21
0.5879396984924623,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.16,0.09,1.0,1.0,1952887,43
0.6540404040404041,0.07692307692307693,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.14,0.08,1.0,1.0,751365,17
0.3282828282828283,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.18,0.12,1.0,1.0,753996,38
0.2914572864321608,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.16,0.09,1.0,1.0,2027502,59
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,1.0,1.0,802605,49
0.07035175879396985,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.1,0.08,1.0,1.0,1594652,87
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,1.0,1.0,1992684,28
0.8040201005025126,0.025,0.0,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.14,0.09,1.0,1.0,2078799,38
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,1.0,1.0,2169267,35
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,1.0,1.0,750497,46
0.5353535353535354,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.021052631578947368,0.1,0.09,1.0,1.0,81492,99
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,1.0,1.0,299355,21
0.7373737373737373,0.1,0.0,0.2890648263178879,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.14,0.1,1.0,1.0,373598,35
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.0,1.0,394345,25
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,1.0,1.0,745148,10
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,1.0,1.0,2023960,55
0.4623115577889447,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.14,0.08,1.0,1.0,2102447,27
0.5313028764805414,0.023809523809523808,0.0,0.0,0.0,0.0,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.1,0.06,1.0,1.0,2490102,16
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,1.0,1.0,2516014,18
0.32663316582914576,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.14,0.09,1.0,1.0,264359,31
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,1.0,1.0,1206044,8
0.27411167512690354,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.1,0.16,0.09,1.0,1.0,1542756,40
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.11,1.0,1.0,1577231,16
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,1.0,1.0,1744238,26
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.11,1.0,1.0,2301568,37
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,1.0,1.0,645703,37
0.4602368866328257,0.03125,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.1,0.06,1.0,1.0,875869,29
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,1.0,1.0,1090573,18
0.4873096446700508,0.3333333333333333,0.5,0.5,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.04918032786885246,0.14,0.09,1.0,1.0,1092441,54
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,1.0,1.0,1105810,25
0.34673366834170855,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.14,0.11,1.0,1.0,1182135,55
0.23618090452261306,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.16,0.09,1.0,1.0,244367,131
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,1.0,1.0,376104,2
0.9698492462311558,0.14285714285714285,0.0,0.3333333333333333,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.2,0.11,1.0,1.0,2390691,17
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,1.0,1.0,2505050,27
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,1.0,1.0,2521826,6
0.39141414141414144,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.03389830508474576,0.16,0.1,1.0,1.0,1686860,81
